Ticker,Name,Price
RF UN Equity,Regions Financial Corp,19.14
RHI UN Equity,Robert Half International Inc,77.23
RHT UN Equity,Red Hat Inc,141
RJF UN Equity,Raymond James Financial Inc,91.34
RL UN Equity,Ralph Lauren Corp,130.36
RMD UN Equity,ResMed Inc,104.74
ROK UN Equity,Rockwell Automation Inc,179.48
ROP UN Equity,Roper Technologies Inc,295.04
ROST UW Equity,Ross Stores Inc,89.05
RSG UN Equity,Republic Services Inc,72.65
RTN UN Equity,Raytheon Co,195.8
SBAC UW Equity,SBA Communications Corp,158.49
SBUX UW Equity,Starbucks Corp,52.23
SCG UN Equity,SCANA Corp,42.12
SCHW UN Equity,Charles Schwab Corp/The,50.29
SEE UN Equity,Sealed Air Corp,43.39
SHW UN Equity,Sherwin-Williams Co/The,442.88
SIVB UW Equity,SVB Financial Group,321.66
SJM UN Equity,JM Smucker Co/The,116.24
SLB UN Equity,Schlumberger Ltd,65.89
SLG UN Equity,SL Green Realty Corp,104.39
SNA UN Equity,Snap-on Inc,168.43
SNPS UW Equity,Synopsys Inc,91.14
SO UN Equity,Southern Co/The,48.93
SPG UN Equity,Simon Property Group Inc,178.27
SPGI UN Equity,S&P Global Inc,198.08
SRCL UW Equity,Stericycle Inc,61.655
SRE UN Equity,Sempra Energy,116.79
STI UN Equity,SunTrust Banks Inc,72.14
STT UN Equity,State Street Corp,86.88
STX UW Equity,Seagate Technology PLC,53.88
STZ UN Equity,Constellation Brands Inc,214.01
SWK UN Equity,Stanley Black & Decker Inc,144.51
SWKS UW Equity,Skyworks Solutions Inc,95.61
SYF UN Equity,Synchrony Financial,29.85
SYK UN Equity,Stryker Corp,165.3
SYMC UW Equity,Symantec Corp,19.25
SYY UN Equity,Sysco Corp,68.57
T UN Equity,AT&T Inc,32.27
TAP UN Equity,Molson Coors Brewing Co,69.2
TDG UN Equity,TransDigm Group Inc,369.82
TEL UN Equity,TE Connectivity Ltd,93.09
TGT UN Equity,Target Corp,81.45
TIF UN Equity,Tiffany & Co,135.8
TJX UN Equity,TJX Cos Inc/The,97.59
TMK UN Equity,Torchmark Corp,86.87
TMO UN Equity,Thermo Fisher Scientific Inc,233.32
TPR UN Equity,Tapestry Inc,46.53
TRIP UW Equity,TripAdvisor Inc,53.27
TROW UW Equity,T Rowe Price Group Inc,117.4
TRV UN Equity,Travelers Cos Inc/The,129.7
TSCO UW Equity,Tractor Supply Co,78.62
TSN UN Equity,Tyson Foods Inc,57.75
TSS UN Equity,Total System Services Inc,93.13
TTWO UW Equity,Take-Two Interactive Software Inc,123.41
TWTR UN Equity,Twitter Inc,31.96
TXN UW Equity,Texas Instruments Inc,112.84
TXT UN Equity,Textron Inc,67
UA UN Equity,Under Armour Inc,18.38
UAA UN Equity,Under Armour Inc,19.68
UAL UN Equity,United Continental Holdings Inc,81.34
UDR UN Equity,UDR Inc,39.13
UHS UN Equity,Universal Health Services Inc,124.19
ULTA UW Equity,Ulta Beauty Inc,235.02
UNH UN Equity,UnitedHealth Group Inc,257.22
UNM UN Equity,Unum Group,36.44
UNP UN Equity,Union Pacific Corp,149.78
UPS UN Equity,United Parcel Service Inc,119.15
URI UN Equity,United Rentals Inc,148.41
USB UN Equity,US Bancorp,52.91
UTX UN Equity,United Technologies Corp,133.89
V UN Equity,Visa Inc,139.82
VAR UN Equity,Varian Medical Systems Inc,114.77
VFC UN Equity,VF Corp,92.44
VIAB UW Equity,Viacom Inc,29.09
VLO UN Equity,Valero Energy Corp,115.38
VMC UN Equity,Vulcan Materials Co,114.5
VNO UN Equity,Vornado Realty Trust,72.01
VRSK UW Equity,Verisk Analytics Inc,114.39
VRSN UW Equity,VeriSign Inc,151
VRTX UW Equity,Vertex Pharmaceuticals Inc,174.54
VTR UN Equity,Ventas Inc,58
VZ UN Equity,Verizon Communications Inc,52.27
WAT UN Equity,Waters Corp,193.98
